idx,nbest_size,top1_entity_recall,oracle_entity_recall,top1_hotword_only_cer,oracle_hotword_only_cer,top1_cer,oracle_cer,oracle_rank,oracle_beats_top1,top1_hit_rate,oracle_hit_rate
94,9.0,1.0,1.0,0.0,0.0,0.1111111111111111,0.1111111111111111,1.0,0.0,,
95,8.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
96,9.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
97,11.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
98,9.0,1.0,1.0,0.0,0.0,0.07692307692307693,0.0,2.0,0.0,,
99,8.0,0.5,0.5,0.16666666666666666,0.16666666666666666,0.06666666666666667,0.06666666666666667,1.0,0.0,,
100,10.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
101,7.0,0.0,0.0,0.8571428571428571,0.5714285714285714,0.2,0.13333333333333333,2.0,1.0,,
103,11.0,1.0,1.0,0.0,0.0,0.09523809523809523,0.09523809523809523,1.0,0.0,,
104,22.0,0.0,0.0,0.8571428571428571,0.2857142857142857,0.22727272727272727,0.045454545454545456,7.0,1.0,,
105,10.0,0.0,0.0,0.2,0.2,0.16666666666666666,0.16666666666666666,1.0,0.0,,
106,12.0,1.0,1.0,0.0,0.0,0.1,0.1,1.0,0.0,,
107,8.0,0.5,0.5,0.16666666666666666,0.16666666666666666,0.047619047619047616,0.047619047619047616,1.0,0.0,,
108,16.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
109,13.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
110,13.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
111,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
112,8.0,0.0,1.0,0.3333333333333333,0.0,0.17647058823529413,0.058823529411764705,5.0,1.0,,
113,8.0,0.0,1.0,0.3333333333333333,0.0,0.17647058823529413,0.11764705882352941,4.0,1.0,,
114,10.0,0.0,1.0,0.3333333333333333,0.0,0.21428571428571427,0.07142857142857142,2.0,1.0,,
115,11.0,0.0,1.0,0.3333333333333333,0.0,0.14285714285714285,0.047619047619047616,3.0,1.0,,
116,8.0,0.0,1.0,0.3333333333333333,0.0,0.09523809523809523,0.047619047619047616,2.0,1.0,,
117,13.0,0.0,1.0,0.3333333333333333,0.0,0.16666666666666666,0.08333333333333333,6.0,1.0,,
118,7.0,0.0,1.0,0.3333333333333333,0.0,0.1,0.05,5.0,1.0,,
119,17.0,1.0,1.0,0.0,0.0,0.14285714285714285,0.0,6.0,0.0,,
120,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
121,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
122,16.0,1.0,1.0,0.0,0.0,0.35,0.35,1.0,0.0,,
123,13.0,1.0,1.0,0.0,0.0,0.05,0.05,1.0,0.0,,
124,6.0,1.0,1.0,0.0,0.0,0.05263157894736842,0.0,3.0,0.0,,
125,6.0,1.0,1.0,0.0,0.0,0.058823529411764705,0.0,4.0,0.0,,
126,9.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
127,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
128,16.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
129,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
130,9.0,1.0,1.0,0.0,0.0,0.05263157894736842,0.05263157894736842,1.0,0.0,,
131,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
132,6.0,1.0,1.0,0.0,0.0,0.05263157894736842,0.05263157894736842,1.0,0.0,,
133,10.0,1.0,1.0,0.0,0.0,0.1,0.1,1.0,0.0,,
134,8.0,1.0,1.0,0.0,0.0,0.16666666666666666,0.16666666666666666,1.0,0.0,,
135,14.0,1.0,1.0,0.0,0.0,0.08333333333333333,0.08333333333333333,1.0,0.0,,
136,8.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
137,10.0,1.0,1.0,0.0,0.0,0.05,0.0,2.0,0.0,,
138,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
139,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
140,10.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
141,13.0,1.0,1.0,0.0,0.0,0.045454545454545456,0.045454545454545456,1.0,0.0,,
142,7.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
143,15.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.1111111111111111,8.0,1.0,,
144,3.0,1.0,1.0,0.0,0.0,0.10526315789473684,0.0,2.0,0.0,,
145,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
146,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
147,11.0,0.0,1.0,0.3333333333333333,0.0,0.09090909090909091,0.0,3.0,1.0,,
148,9.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
149,18.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.1,0.1,1.0,0.0,,
150,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
151,10.0,1.0,1.0,0.0,0.0,0.10526315789473684,0.0,2.0,0.0,,
152,18.0,1.0,1.0,0.0,0.0,0.0625,0.0625,1.0,0.0,,
153,8.0,1.0,1.0,0.0,0.0,0.2,0.0,6.0,0.0,,
154,6.0,1.0,1.0,0.0,0.0,0.1,0.0,4.0,0.0,,
155,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
156,7.0,1.0,1.0,0.0,0.0,0.058823529411764705,0.0,3.0,0.0,,
157,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
158,11.0,1.0,1.0,0.0,0.0,0.11764705882352941,0.11764705882352941,1.0,0.0,,
159,15.0,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.25,8.0,1.0,,
160,5.0,1.0,1.0,0.0,0.0,0.0625,0.0625,1.0,0.0,,
161,18.0,1.0,1.0,0.0,0.0,0.15384615384615385,0.15384615384615385,1.0,0.0,,
162,13.0,1.0,1.0,0.0,0.0,0.07692307692307693,0.0,3.0,0.0,,
163,6.0,1.0,1.0,0.0,0.0,0.07692307692307693,0.07692307692307693,1.0,0.0,,
164,9.0,1.0,1.0,0.0,0.0,0.14285714285714285,0.0,6.0,0.0,,
165,3.0,1.0,1.0,0.0,0.0,0.1,0.0,2.0,0.0,,
166,8.0,1.0,1.0,0.0,0.0,0.09090909090909091,0.09090909090909091,1.0,0.0,,
167,9.0,1.0,1.0,0.0,0.0,0.13333333333333333,0.0,4.0,0.0,,
168,10.0,1.0,1.0,0.0,0.0,0.058823529411764705,0.0,3.0,0.0,,
169,10.0,1.0,1.0,0.0,0.0,0.08333333333333333,0.0,5.0,0.0,,
170,5.0,1.0,1.0,0.0,0.0,0.1,0.0,3.0,0.0,,
171,12.0,1.0,1.0,0.0,0.0,0.14285714285714285,0.14285714285714285,1.0,0.0,,
172,10.0,1.0,1.0,0.0,0.0,0.05,0.05,1.0,0.0,,
173,5.0,1.0,1.0,0.0,0.0,0.10526315789473684,0.05263157894736842,4.0,0.0,,
174,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
175,8.0,1.0,1.0,0.0,0.0,0.2,0.2,1.0,0.0,,
176,11.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
177,5.0,1.0,1.0,0.5,0.0,0.23529411764705882,0.0,2.0,1.0,,
178,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
179,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
180,11.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
